seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
chr18	21242785	21243382	598	*	EZH2_ENCODE_peak_44	ENSG00000141449	21242242	21525417	+	inside	543	543	NearestLocation
chr18	21268784	21270728	1945	*	EZH2_ENCODE_peak_45	ENSG00000141449	21242242	21525417	+	inside	26542	26542	NearestLocation
chr18	22066678	22066969	292	*	EZH2_ENCODE_peak_46	ENSG00000263588	22088060	22098780	+	upstream	-21382	21091	NearestLocation
chr18	23806877	23807299	423	*	EZH2_ENCODE_peak_47	ENSG00000221389	23894115	23894206	-	downstream	87329	86816	NearestLocation
chr18	24129815	24132334	2520	*	EZH2_ENCODE_peak_48	ENSG00000279332	24135468	24135829	-	downstream	6014	3134	NearestLocation
chr18	24234871	24236292	1422	*	EZH2_ENCODE_peak_49	ENSG00000206766	24218300	24218404	+	downstream	16571	16467	NearestLocation
chr18	24237024	24237752	729	*	EZH2_ENCODE_peak_50	ENSG00000206766	24218300	24218404	+	downstream	18724	18620	NearestLocation
chr18	28622242	28622599	358	*	EZH2_ENCODE_peak_51	ENSG00000266296	28651732	28653208	+	upstream	-29490	29133	NearestLocation
chr18	29078123	29078769	647	*	EZH2_ENCODE_peak_52	ENSG00000265730	29095575	29095679	-	downstream	17556	16806	NearestLocation
chr18	29303409	29304813	1405	*	EZH2_ENCODE_peak_53	ENSG00000266479	29256817	29257060	-	upstream	-46349	46349	NearestLocation
chr18	29598860	29599456	597	*	EZH2_ENCODE_peak_54	ENSG00000264587	29518259	29548241	+	downstream	80601	50619	NearestLocation
chr18	30349777	30353048	3272	*	EZH2_ENCODE_peak_55	ENSG00000266196	30713275	30714286	+	upstream	-363498	360227	NearestLocation
chr18	31020720	31021064	345	*	EZH2_ENCODE_peak_56	ENSG00000134762	30990008	31042815	-	inside	22095	21751	NearestLocation
chr18	31157428	31158268	841	*	EZH2_ENCODE_peak_57	ENSG00000134765	31129236	31162856	-	inside	5428	4588	NearestLocation
chr18	31158417	31160300	1884	*	EZH2_ENCODE_peak_58	ENSG00000134765	31129236	31162856	-	inside	4439	2556	NearestLocation
chr18	31738971	31739689	719	*	EZH2_ENCODE_peak_59	ENSG00000263772	31726043	31726397	-	upstream	-12574	12574	NearestLocation
chr18	31801766	31805221	3456	*	EZH2_ENCODE_peak_60	ENSG00000263924	31844388	31845178	+	upstream	-42622	39167	NearestLocation
chr18	32073929	32074383	455	*	EZH2_ENCODE_peak_61	ENSG00000214917	32075885	32076272	-	downstream	2343	1502	NearestLocation
chr18	32555926	32556995	1070	*	EZH2_ENCODE_peak_62	ENSG00000263688	32581528	32582828	+	upstream	-25602	24533	NearestLocation
chr18	33529445	33530064	620	*	EZH2_ENCODE_peak_63	ENSG00000267642	33552123	33578187	-	downstream	48742	22059	NearestLocation
chr18	34833271	34833895	625	*	EZH2_ENCODE_peak_64	ENSG00000221409	34819946	34820031	-	upstream	-13240	13240	NearestLocation
chr18	34834371	34835372	1002	*	EZH2_ENCODE_peak_65	ENSG00000221409	34819946	34820031	-	upstream	-14340	14340	NearestLocation
chr18	34854072	34855255	1184	*	EZH2_ENCODE_peak_66	ENSG00000221409	34819946	34820031	-	upstream	-34041	34041	NearestLocation
chr18	34855409	34855975	567	*	EZH2_ENCODE_peak_67	ENSG00000221409	34819946	34820031	-	upstream	-35378	35378	NearestLocation
chr18	34923469	34923799	331	*	EZH2_ENCODE_peak_68	ENSG00000278464	34892013	34902885	-	upstream	-20584	20584	NearestLocation
chr18	35065643	35066280	638	*	EZH2_ENCODE_peak_69	ENSG00000280096	35082009	35082242	+	upstream	-16366	15729	NearestLocation
chr18	35103973	35105264	1292	*	EZH2_ENCODE_peak_70	ENSG00000280096	35082009	35082242	+	downstream	21964	21731	NearestLocation
chr18	35117836	35118227	392	*	EZH2_ENCODE_peak_71	ENSG00000274400	35144942	35145417	+	upstream	-27106	26715	NearestLocation
chr18	35143933	35144278	346	*	EZH2_ENCODE_peak_72	ENSG00000274400	35144942	35145417	+	upstream	-1009	664	NearestLocation
chr18	35144358	35148571	4214	*	EZH2_ENCODE_peak_73	ENSG00000274400	35144942	35145417	+	includeFeature	-584	584	NearestLocation
chr18	43912946	43913953	1008	*	EZH2_ENCODE_peak_74	ENSG00000202250	43832159	43832265	-	upstream	-80681	80681	NearestLocation
chr18	43914283	43915195	913	*	EZH2_ENCODE_peak_75	ENSG00000202250	43832159	43832265	-	upstream	-82018	82018	NearestLocation
chr18	43915240	43916123	884	*	EZH2_ENCODE_peak_76	ENSG00000202250	43832159	43832265	-	upstream	-82975	82975	NearestLocation
chr18	43916767	43917109	343	*	EZH2_ENCODE_peak_77	ENSG00000202250	43832159	43832265	-	upstream	-84502	84502	NearestLocation
chr18	44334592	44338402	3811	*	EZH2_ENCODE_peak_78	ENSG00000267573	44320800	44322257	-	upstream	-12335	12335	NearestLocation
chr18	44338790	44339127	338	*	EZH2_ENCODE_peak_79	ENSG00000267573	44320800	44322257	-	upstream	-16533	16533	NearestLocation
chr18	44771987	44778981	6995	*	EZH2_ENCODE_peak_80	ENSG00000280365	44732575	44733315	+	downstream	39412	38672	NearestLocation
chr18	44779602	44779932	331	*	EZH2_ENCODE_peak_81	ENSG00000280365	44732575	44733315	+	downstream	47027	46287	NearestLocation
chr18	44780600	44781353	754	*	EZH2_ENCODE_peak_82	ENSG00000280365	44732575	44733315	+	downstream	48025	47285	NearestLocation
chr18	44786775	44791013	4239	*	EZH2_ENCODE_peak_83	ENSG00000280365	44732575	44733315	+	downstream	54200	53460	NearestLocation
chr18	45533953	45534355	403	*	EZH2_ENCODE_peak_84	ENSG00000267354	45507202	45550183	+	inside	26751	15828	NearestLocation
chr18	45661103	45661472	370	*	EZH2_ENCODE_peak_85	ENSG00000266968	45646153	45647937	+	downstream	14950	13166	NearestLocation
chr18	45661806	45664796	2991	*	EZH2_ENCODE_peak_86	ENSG00000266968	45646153	45647937	+	downstream	15653	13869	NearestLocation
chr18	45933632	45933982	351	*	EZH2_ENCODE_peak_87	ENSG00000152223	45847609	45967274	-	inside	33642	33292	NearestLocation
chr18	45934081	45935798	1718	*	EZH2_ENCODE_peak_88	ENSG00000152223	45847609	45967274	-	inside	33193	31476	NearestLocation
chr18	45936831	45937733	903	*	EZH2_ENCODE_peak_89	ENSG00000152223	45847609	45967274	-	inside	30443	29541	NearestLocation
chr18	45937776	45938082	307	*	EZH2_ENCODE_peak_90	ENSG00000152223	45847609	45967274	-	inside	29498	29192	NearestLocation
chr18	45967298	45969062	1765	*	EZH2_ENCODE_peak_91	ENSG00000152223	45847609	45967274	-	upstream	-24	24	NearestLocation
chr18	47086338	47089124	2787	*	EZH2_ENCODE_peak_92	ENSG00000266957	47077361	47091280	-	inside	4942	2156	NearestLocation
chr18	47719358	47722377	3020	*	EZH2_ENCODE_peak_93	ENSG00000267187	47703175	47703745	+	downstream	16183	15613	NearestLocation
chr18	48085181	48085923	743	*	EZH2_ENCODE_peak_94	ENSG00000278891	48147634	48150864	-	downstream	65683	61711	NearestLocation
chr18	48085964	48088056	2093	*	EZH2_ENCODE_peak_95	ENSG00000278891	48147634	48150864	-	downstream	64900	59578	NearestLocation
chr18	49867625	49868730	1106	*	EZH2_ENCODE_peak_96	ENSG00000201668	49871555	49871666	-	downstream	4041	2825	NearestLocation
chr18	55018993	55021495	2503	*	EZH2_ENCODE_peak_97	ENSG00000264804	55001296	55001398	-	upstream	-17595	17595	NearestLocation
chr18	55093967	55094389	423	*	EZH2_ENCODE_peak_98	ENSG00000267013	55105904	55124306	-	downstream	30339	11515	NearestLocation
chr18	55094434	55098710	4277	*	EZH2_ENCODE_peak_99	ENSG00000267013	55105904	55124306	-	downstream	29872	7194	NearestLocation
chr18	55098799	55099330	532	*	EZH2_ENCODE_peak_100	ENSG00000267013	55105904	55124306	-	downstream	25507	6574	NearestLocation
chr18	55100104	55102642	2539	*	EZH2_ENCODE_peak_101	ENSG00000267013	55105904	55124306	-	downstream	24202	3262	NearestLocation
chr18	55103082	55109312	6231	*	EZH2_ENCODE_peak_102	ENSG00000267013	55105904	55124306	-	overlapEnd	21224	2822	NearestLocation
chr18	56886215	56886604	390	*	EZH2_ENCODE_peak_103	ENSG00000267146	56872668	56873970	-	upstream	-12245	12245	NearestLocation
chr18	56886792	56889873	3082	*	EZH2_ENCODE_peak_104	ENSG00000267146	56872668	56873970	-	upstream	-12822	12822	NearestLocation
chr18	56930265	56942265	12001	*	EZH2_ENCODE_peak_105	ENSG00000212539	56957270	56957469	+	upstream	-27005	15005	NearestLocation
chr18	56942507	56943073	567	*	EZH2_ENCODE_peak_106	ENSG00000212539	56957270	56957469	+	upstream	-14763	14197	NearestLocation
chr18	57636363	57636735	373	*	EZH2_ENCODE_peak_107	ENSG00000267787	57639455	57738044	+	upstream	-3092	2720	NearestLocation
chr18	57636784	57637386	603	*	EZH2_ENCODE_peak_108	ENSG00000267787	57639455	57738044	+	upstream	-2671	2069	NearestLocation
chr18	59000358	59002058	1701	*	EZH2_ENCODE_peak_109	ENSG00000224367	58996734	59069338	+	inside	3624	3624	NearestLocation
chr18	59990997	59994877	3881	*	EZH2_ENCODE_peak_110	ENSG00000267462	60010281	60014258	+	upstream	-19284	15404	NearestLocation
chr18	59998770	59999072	303	*	EZH2_ENCODE_peak_111	ENSG00000267462	60010281	60014258	+	upstream	-11511	11209	NearestLocation
chr18	60262787	60264647	1861	*	EZH2_ENCODE_peak_112	ENSG00000267401	60294151	60301118	+	upstream	-31364	29504	NearestLocation
chr18	60271130	60271695	566	*	EZH2_ENCODE_peak_113	ENSG00000267401	60294151	60301118	+	upstream	-23021	22456	NearestLocation
chr18	60277733	60279725	1993	*	EZH2_ENCODE_peak_114	ENSG00000267401	60294151	60301118	+	upstream	-16418	14426	NearestLocation
chr18	70208864	70211345	2482	*	EZH2_ENCODE_peak_115	ENSG00000176225	70003793	70205945	-	upstream	-2919	2919	NearestLocation
chr18	70533736	70534072	337	*	EZH2_ENCODE_peak_116	ENSG00000239748	70512727	70513008	+	downstream	21009	20728	NearestLocation
chr18	70534391	70534774	384	*	EZH2_ENCODE_peak_117	ENSG00000239748	70512727	70513008	+	downstream	21664	21383	NearestLocation
chr18	72123156	72124416	1261	*	EZH2_ENCODE_peak_118	ENSG00000265995	71890409	71944577	-	upstream	-178579	178579	NearestLocation
chr18	72124617	72126274	1658	*	EZH2_ENCODE_peak_119	ENSG00000265995	71890409	71944577	-	upstream	-180040	180040	NearestLocation
chr18	72156304	72157105	802	*	EZH2_ENCODE_peak_120	ENSG00000265995	71890409	71944577	-	upstream	-211727	211727	NearestLocation
chr18	74842653	74846284	3632	*	EZH2_ENCODE_peak_121	ENSG00000252330	74821126	74821220	+	downstream	21527	21433	NearestLocation
chr18	74960745	74963993	3249	*	EZH2_ENCODE_peak_122	ENSG00000278607	75070197	75071091	-	downstream	110346	106204	NearestLocation
chr18	76733880	76734254	375	*	EZH2_ENCODE_peak_123	ENSG00000265836	76751305	76751841	+	upstream	-17425	17051	NearestLocation
chr18	76736818	76739245	2428	*	EZH2_ENCODE_peak_124	ENSG00000265836	76751305	76751841	+	upstream	-14487	12060	NearestLocation
chr18	76740256	76742093	1838	*	EZH2_ENCODE_peak_125	ENSG00000265836	76751305	76751841	+	upstream	-11049	9212	NearestLocation
chr18	77154696	77155163	468	*	EZH2_ENCODE_peak_126	ENSG00000197971	76978827	77133683	-	upstream	-21013	21013	NearestLocation
chr18	77156028	77156356	329	*	EZH2_ENCODE_peak_127	ENSG00000197971	76978827	77133683	-	upstream	-22345	22345	NearestLocation
chr18	77156529	77156915	387	*	EZH2_ENCODE_peak_128	ENSG00000197971	76978827	77133683	-	upstream	-22846	22846	NearestLocation
chr18	77292477	77293087	611	*	EZH2_ENCODE_peak_129	ENSG00000166573	77250549	77277896	+	downstream	41928	14581	NearestLocation
chr18	77547031	77548753	1723	*	EZH2_ENCODE_peak_130	ENSG00000264693	77622552	77624515	+	upstream	-75521	73799	NearestLocation
chr18	77548830	77549336	507	*	EZH2_ENCODE_peak_131	ENSG00000264693	77622552	77624515	+	upstream	-73722	73216	NearestLocation
chr18	77556691	77558020	1330	*	EZH2_ENCODE_peak_132	ENSG00000264693	77622552	77624515	+	upstream	-65861	64532	NearestLocation
chr18	77558111	77560113	2003	*	EZH2_ENCODE_peak_133	ENSG00000264693	77622552	77624515	+	upstream	-64441	62439	NearestLocation
chr18	77633671	77634101	431	*	EZH2_ENCODE_peak_134	ENSG00000271702	77632928	77633360	-	upstream	-311	311	NearestLocation
chr18	78002944	78003443	500	*	EZH2_ENCODE_peak_135	ENSG00000265843	77971294	77993722	-	upstream	-9222	9222	NearestLocation
chr18	78003615	78004495	881	*	EZH2_ENCODE_peak_136	ENSG00000265843	77971294	77993722	-	upstream	-9893	9893	NearestLocation
chr18	78004612	78004979	368	*	EZH2_ENCODE_peak_137	ENSG00000265843	77971294	77993722	-	upstream	-10890	10890	NearestLocation
